Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Solomon Islands,SLB,2045.79,1563.68,1135.52,1243.9,1351.73,1406.45,1439.78,1462.4,1411.26,1362.73,1394.02,1438.42,1444.6,1450.88,1453.31,1443.74,1440.34,1434.31,1429.7,1427.43,1420.74,1434.9474
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Somalia,SOM,13062.4,12039.3,11500.4,12426.5,13312,13657.4,13972.4,14303.6,14507.1,14804.3,14979.3,15238.9,15476.2,15668.4,15758.8,15727.5,15774.8,15797.4,15851.4,15809.3,15888.1,16046.981
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,South Africa,ZAF,53369.7,53808.4,53589.4,54063.2,54547.3,55254.3,56103.7,58028.1,58883.5,59353.1,59465.2,60554.3,60547.1,62778.9,63995.3,65389.4,65470.7,66110,67234.5,65472.9,65311.2,64233.62421
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Spain,ESP,32809,32752.5,32800.6,32388,32813.1,32669.6,32780.8,34068.4,34447.1,34519.9,35113.6,35629.3,36121.5,35996.6,36127.1,36314.9,36073.1,36302.2,36484.2,36836,36823.6,37064.1027895843
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Sri Lanka,LKA,11514.1,11004.5,10936.2,11250.2,11725.6,11606,10063.4,9841.13,9315.24,9895.28,9606.1,9249.79,9543.28,10086.1,9113.36,10292,10361.2,11011.3,11351.4,10973.9,11630.9,11747.209
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,St. Kitts and Nevis,KNA,25.8255,26.9923,28.776,28.2629,28.2748,28.7572,29.8266,32.2536,31.7411,31.546,32.5659,33.0917,33.4498,33.8611,34.3194,33.929,34.4144,32.1513,30.9709,30.2962,29.4668,29.761468
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,St. Lucia,LCA,36.9718,37.2514,37.5229,37.7076,37.9909,38.2506,38.4009,38.5637,38.8302,39.1605,39.5805,39.892,40.2137,40.5166,40.8795,41.1707,41.534,41.9093,42.2973,42.4451,42.8591,43.287691
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,St. Vincent and the Grenadines,VCT,29.7217,29.7136,30.428,31.0684,31.8021,32.3437,32.7867,33.1995,33.7453,34.215,34.652,35.0913,35.6214,34.5445,34.9926,35.5294,36.0679,36.721,37.435,38.3372,39.0831,39.473931
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Sudan,SDN,47141.3,42507.6,48878.1,49619.3,52144.7,55134.1,56007.4,57945.5,58688.8,63112.3,64406.4,65621.6,67796.9,66998,67288.7,70660.8,85745.4,125045,100992,101835,94638.7,95585.087
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Suriname,SUR,986.594,1005.58,1105.44,1067.74,836.553,923.12,914.578,851.938,769.644,631.204,617.973,718.647,800.922,712.254,974.092,670.266,594.373,598.859,594.389,686.87,695.478,702.43278
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Swaziland,SWZ,1134.11,1124.9,1211.66,1078.77,1131.95,1149.72,1186.33,1229.72,1151.4,1144.49,1193.08,1112.22,1120.82,1112.84,1201.28,1195.96,1237.84,1271.84,1292.13,1296.78,1350.02,1363.5202
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Sweden,SWE,11521,11220.9,11307.9,11421.8,11538,11586.1,11574.8,11544.4,11582.6,11358.5,11467.4,11460.6,11193.8,11329.5,11548.3,11509.2,11622.9,11532.5,11394.7,10479.8,10817.5,10392.7560772989
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Switzerland,CHE,5907.07,5865.67,5749.27,5666.06,5695.96,5613.28,5576.61,5386.85,5328.37,5155.53,5126.48,5150.73,5084.65,4975.49,4977.71,4954.17,4945.07,4953.02,4946.62,4897.93,4992.3,4902.80987706285
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Syrian Arab Republic,SYR,8383,9358.72,10019.2,10261.9,10104.7,10613,10976.3,11527.9,12221.6,12307.7,12605.4,11401.9,11434.8,11723.1,11908.3,11896,12126.7,12355.9,12497.9,12405.1,12532.2,12657.522
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Tajikistan,TJK,4299.13,4164.81,4041.71,3753.51,3718.95,3595.79,3434.59,3375.75,3292.67,3297.66,3303.67,3338.53,3396.62,3507.24,3674.12,3885,4073.42,4307.68,4507.7,4746.65,4942.78,5175.17230502937
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Tanzania,TZA,26890.9,24039.9,32481.8,22725.8,25309.9,27570.4,24480.4,23866.3,30653.7,26289.7,29123.6,31105.3,29812.3,32596.9,30754,33609.9,25245.3,25012,25359.6,26722.6,27445,27719.45
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Thailand,THA,84983,87965.9,90121.4,85217.4,86872.6,85439.7,83897,86462.6,84499.7,84348.6,83563.8,84689.2,85723.5,84480.2,88673.4,89549.1,91237.3,95354.4,97661.4,99052.6,104411,105455.11
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Timor-Leste,TMP,340.472,404.713,380.516,392.784,530.913,602.546,463.498,441.214,461.378,402.412,449.991,598.356,606.863,658.73,672.508,676.722,685.737,689.243,696.937,706.55,717.718,724.89518
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Togo,TGO,3089.46,2638.16,2855.79,2814.16,2910.95,3081.4,3235.42,3354.52,3084.78,3188.51,3439.56,3321.49,3625.11,3096,3115.2,3731.82,3391.76,5397.15,5866.03,5364.91,5237.91,5290.2891
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Tonga,TON,56.5439,56.7256,58.7903,58.5883,57.6979,55.0303,55.3492,55.3256,55.3717,56.583,58.0349,58.2171,58.3012,58.4972,58.722,58.9654,59.2148,59.4959,59.7357,60.0006,60.2443,60.846743
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Trinidad and Tobago,TTO,3037.59,3085.95,3153.27,3053.12,3249.8,3095.25,3587.25,3617.28,4065.52,4804.45,5555.71,5973.48,6781.81,9186.36,10136.7,11094.3,13000.8,13485.2,13543,13982.8,14498.6,14643.586
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Tunisia,TUN,4059.03,4269.71,4529.58,4753.73,4886.92,5086.01,5678.36,6080.37,6463.48,6685.61,6883.29,7045.49,7095.08,7033.88,7136.61,7248.34,7401.5,6801.62,6950.67,7247.01,7497.24,7572.2124
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Turkey,TUR,43852.1,43156.8,45102.7,46113.7,46995.3,48599.9,49428.6,51667.1,52564,54224.7,56261.3,57211,57967.4,59616.2,61961.6,64354.9,67179.7,70617.9,75649.4,76301.3,77306.8,78079.868
